--------Full position data log-----------
(-9.844829341046491e-05, -0.0013782761077465089, 0.0)
(-0.00031064373485041233, -0.0031141840105710617, 0.0)
(-0.0005265334232771518, -0.004861689621402267, 0.0)
(-0.0007434179233588267, -0.0066123183409852165, 0.0)
(-0.0009607159436108128, -0.008364245264561369, 0.0)
(-0.0011782280954713677, -0.010116844432272808, 0.0)
(-0.0013958678590942864, -0.011869844223971601, 0.0)
(-0.0016135918222249038, -0.013623108351354522, 0.0)
(-0.0015111663243285078, -0.015888007104116614, 0.0)
(-0.001407756652128317, -0.01815469445708132, 0.0)
(-0.0013035591953542056, -0.02042281349917172, 0.0)
(-0.0011987051928272182, -0.02269212572204533, 0.0)
(-0.0010932866198194253, -0.024962463973410506, 0.0)
(-0.0009873709325423851, -0.02723370566096505, 0.0)
(-0.0010446069415550397, -0.02880273139041949, 0.0)
(-0.0011019030206055474, -0.030370496788370727, 0.0)
(-0.0011592540745071242, -0.03193710875710563, 0.0)
(-0.0012166557319506289, -0.03350265901120966, 0.0)
(-0.0012741041389126137, -0.035067228412079605, 0.0)
(-0.0013315958243940516, -0.03663088978486387, 0.0)
(-0.0013891276128961134, -0.03819370975481117, 0.0)
(-0.0019975432292877516, -0.03967370895365269, 0.0)
(-0.0026078943395080175, -0.041152702642703126, 0.0)
(-0.003220037051418179, -0.04263076557547097, 0.0)
(-0.0038338364707498555, -0.04410796783097462, 0.0)
(-0.004449166065553123, -0.0455843751439184, 0.0)
(-0.005065907203377386, -0.047060049145132045, 0.0)
(-0.004823927647553013, -0.04923737381246155, 0.0)
(-0.004579755829144263, -0.05141684430017124, 0.0)
(-0.004333569354912974, -0.05359828676402734, 0.0)
(-0.004085533648652988, -0.0557815392846728, 0.0)
(-0.0038358024760058594, -0.05796645135392953, 0.0)
(-0.003776918114106781, -0.059574226876930154, 0.0)
(-0.0037174266041911, -0.06118094607815476, 0.0)
(-0.0036573801055701724, -0.0627866997048592, 0.0)
(-0.003596826737913193, -0.06439157147609227, 0.0)
(-0.003535810821451372, -0.06599563850060516, 0.0)
(-0.0034743731147317235, -0.06759897169049771, 0.0)
(-0.003412551047857461, -0.0692016361670122, 0.0)
(-0.0038918151487564875, -0.07054461734492812, 0.0)
(-0.004373185753037648, -0.07188588385325267, 0.0)
(-0.0048564726046335105, -0.07322559055824253, 0.0)
(-0.005341501790405374, -0.07456387902319779, 0.0)
(-0.005828114483343272, -0.07590087853148282, 0.0)
(-0.006316165756471759, -0.07723670705199331, 0.0)
(-0.005822276470205589, -0.07941944995687383, 0.0)
(-0.005325051969807096, -0.08160512668604572, 0.0)
(-0.004824800542470187, -0.08379346605438492, 0.0)
(-0.004321802737722815, -0.08598422127623169, 0.0)
(-0.0038163137279728756, -0.08817716788893412, 0.0)
(-0.004214431019053948, -0.08984574016140803, 0.0)
(-0.004614718662764006, -0.0915136629722193, 0.0)
(-0.0050169737795969695, -0.09318099703153068, 0.0)
(-0.005421012150279475, -0.09484779746557098, 0.0)
(-0.005826666554088417, -0.09651411431388095, 0.0)
(-0.006233785245298535, -0.09817999298522491, 0.0)
(-0.0038641939387635198, -0.08824488219880777, 0.0)
(-0.0014827508528345865, -0.07825490251106441, 0.0)
(0.0009094273958487132, -0.0682152234012923, 0.0)
(0.003311328469920905, -0.05813053157831115, 0.0)
(0.005722034739149898, -0.04800507529556757, 0.0)
(0.008140714556897743, -0.03784270473756123, 0.0)
(0.015450463456270599, -0.0357939250012638, 0.0)
(0.022789810780576767, -0.033753350760552144, 0.0)
(0.030155955813781582, -0.03172020558008853, 0.0)
(0.03754636158156591, -0.029693786140975956, 0.0)
(0.04495873024490373, -0.02767345541918267, 0.0)
(0.061594158129414774, -0.02671528682943432, 0.0)
(0.0782911426044143, -0.02576710878102689, 0.0)
(0.09504384684655676, -0.024827973966377693, 0.0)
(0.11184698587239929, -0.023897024640683898, 0.0)
(0.12869577465623386, -0.022973484201525292, 0.0)
(0.14558588107297385, -0.022056649551566096, 0.0)
(0.16251338322693576, -0.02114588417308092, 0.0)
(0.18621256062069225, -0.02913960499048858, 0.0)
(0.2099743185432018, -0.03718049394474918, 0.0)
(0.2337927135029173, -0.04526407131304371, 0.0)
(0.25766236566751693, -0.05338628221325063, 0.0)
(0.2815784055560489, -0.061543456424799456, 0.0)
(0.30553642574592177, -0.06973227198930955, 0.0)
(0.3223819985524985, -0.09363272684607181, 0.0)
(0.3392280189973764, -0.11763352044703129, 0.0)
(0.3560744445362275, -0.14172511642219687, 0.0)
