Packet,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
70,-0.003909786697477102,0.03556837886571884,-0.0059753344394266605,0.1728363037109375,0.0085296630859375,0.0,0,0,0
71,-0.003909786697477102,0.03556837886571884,-0.0059753344394266605,0.1728363037109375,0.0085296630859375,0.0,0,0,0
72,-0.003909786697477102,0.03556837886571884,-0.0059753344394266605,0.1728363037109375,0.0085296630859375,0.0,0,0,0
73,-0.003909786697477102,0.03556837886571884,-0.0059753344394266605,0.1728363037109375,0.0085296630859375,0.0,0,0,0
74,-0.02178945206105709,-0.016522251069545746,0.07812755554914474,0.2435760498046875,-0.08489990234375,0.0,0,0,0
75,-0.02178945206105709,-0.016522251069545746,0.07812755554914474,0.2435760498046875,-0.08489990234375,0.0,0,0,0
76,-0.02178945206105709,-0.016522251069545746,0.07812755554914474,0.2435760498046875,-0.08489990234375,0.0,0,0,0
77,-0.02178945206105709,-0.016522251069545746,0.07812755554914474,0.2435760498046875,-0.08489990234375,0.0,0,0,0
78,-0.02178945206105709,-0.016522251069545746,0.07812755554914474,0.2435760498046875,-0.08489990234375,0.0,0,0,0
79,-0.02178945206105709,-0.016522251069545746,0.07812755554914474,0.2435760498046875,-0.08489990234375,0.0,0,0,0
80,-0.00954024214297533,0.0499236173927784,0.23714517056941986,0.1685028076171875,-0.2495574951171875,0.0,0,0,0
81,-0.00954024214297533,0.0499236173927784,0.23714517056941986,0.1685028076171875,-0.2495574951171875,0.0,0,0,0
82,-0.00954024214297533,0.0499236173927784,0.23714517056941986,0.1685028076171875,-0.2495574951171875,0.0,0,0,0
83,-0.00954024214297533,0.0499236173927784,0.23714517056941986,0.1685028076171875,-0.2495574951171875,0.0,0,0,0
84,-0.00954024214297533,0.0499236173927784,0.23714517056941986,0.1685028076171875,-0.2495574951171875,0.0,0,0,0
85,-0.02214524894952774,-0.03921744227409363,0.3238563537597656,0.0108489990234375,-0.30859375,0.0,0,0,0
86,-0.02214524894952774,-0.03921744227409363,0.3238563537597656,0.0108489990234375,-0.30859375,0.0,0,0,0
87,-0.02214524894952774,-0.03921744227409363,0.3238563537597656,0.0108489990234375,-0.30859375,0.0,0,0,0
88,-0.02214524894952774,-0.03921744227409363,0.3238563537597656,0.0108489990234375,-0.30859375,0.0,0,0,0
89,-0.02214524894952774,-0.03921744227409363,0.3238563537597656,0.0108489990234375,-0.30859375,0.0,0,0,0
90,-0.02214524894952774,-0.03921744227409363,0.3238563537597656,0.0108489990234375,-0.30859375,0.0,0,0,0
91,-0.02214524894952774,-0.03921744227409363,0.3238563537597656,0.0108489990234375,-0.30859375,0.0,0,0,0
92,-0.00592420157045126,0.019151857122778893,0.2648085057735443,-0.29644775390625,-0.2610931396484375,0.0,0,0,0
93,-0.00592420157045126,0.019151857122778893,0.2648085057735443,-0.29644775390625,-0.2610931396484375,0.0,0,0,0
94,-0.00592420157045126,0.019151857122778893,0.2648085057735443,-0.29644775390625,-0.2610931396484375,0.0,0,0,0
95,-0.00592420157045126,0.019151857122778893,0.2648085057735443,-0.29644775390625,-0.2610931396484375,0.0,0,0,0
96,-0.00592420157045126,0.019151857122778893,0.2648085057735443,-0.29644775390625,-0.2610931396484375,0.0,0,0,0
97,-0.0017086841398850083,0.0002790992730297148,0.1972012221813202,-0.3412322998046875,-0.1659393310546875,0.0,0,0,0
98,-0.0017086841398850083,0.0002790992730297148,0.1972012221813202,-0.3412322998046875,-0.1659393310546875,0.0,0,0,0
99,-0.0017086841398850083,0.0002790992730297148,0.1972012221813202,-0.3412322998046875,-0.1659393310546875,0.0,0,0,0
100,-0.0017086841398850083,0.0002790992730297148,0.1972012221813202,-0.3412322998046875,-0.1659393310546875,0.0,0,0,0
101,-0.0017086841398850083,0.0002790992730297148,0.1972012221813202,-0.3412322998046875,-0.1659393310546875,0.0,0,0,0
102,0.012664929032325745,-0.0344325415790081,0.16057077050209045,-0.41082763671875,0.2054595947265625,0.0,0,0,0
103,0.012664929032325745,-0.0344325415790081,0.16057077050209045,-0.41082763671875,0.2054595947265625,0.0,0,0,0
104,0.012664929032325745,-0.0344325415790081,0.16057077050209045,-0.41082763671875,0.2054595947265625,0.0,0,0,0
105,0.012664929032325745,-0.0344325415790081,0.16057077050209045,-0.41082763671875,0.2054595947265625,0.0,0,0,0
106,0.012664929032325745,-0.0344325415790081,0.16057077050209045,-0.41082763671875,0.2054595947265625,0.0,0,0,0
107,0.012664929032325745,-0.0344325415790081,0.16057077050209045,-0.41082763671875,0.2054595947265625,0.0,0,0,0
